20019	朱小新	1	1	62	60	96	97
20032	郑小蜓	2	2	54	81	81	77
20003	张小桐	1	2	51	63	83	54
20009	张小	1	2	76	50	81	57
20025	张大	1	2	86	65	79	50
20017	袁小昕	1	3	56	99	61	80
20002	叶小聪	1	2	80	54	89	80
20024	杨小沐	1	2	96	73	66	69
20029	杨小浩	1	2	65	71	71	69
20022	吴小鸿	1	1	62	94	84	66
20021	温小扬	1	2	96	86	61	89
20028	王小达	1	1	59	63	53	79
20012	谭小锋	1	1	99	85	75	86
20034	孙小美	2	1	65	70	98	55
20013	苏小	1	1	88	84	68	60
20011	邱小南	1	3	96	64	99	55
20023	彭小华	1	2	94	53	90	72
20010	麦小华	1	2	96	67	66	52
20004	吕小诚	1	2	83	53	72	94
20035	林小柔	2	3	59	69	86	90
20016	林小	1	3	73	100	68	89
20006	廖小彦	1	3	55	77	99	94
20007	梁小浩	1	1	72	78	55	52
20005	李小毅	1	2	81	61	100	77
20018	李小程	1	2	76	97	75	98
20030	黄小俊	1	1	94	97	58	80
20026	黄小迪	1	1	98	70	86	66
20020	郭小轩	1	2	64	75	59	70
20015	冯小烽	1	3	72	80	70	78
20014	陈小锟	1	2	58	66	74	83
20033	陈小扬	2	2	82	62	64	54
20031	陈小娜	2	3	83	58	56	50
20001	曹小臣	1	2	51	97	100	70
20027	蔡小鹏	1	3	65	89	97	60
20008	黄小明	1	2	69	79	39	69
